name,internal_url,website_url,outbound_url,external_domain,category,featured,curated_pick,external_http_code,external_effective_url,external_redirects,reachability
Dia,https://macapp.supply/app/dia,https://www.diabrowser.com/,https://www.diabrowser.com/?ref=macapp.supply,www.diabrowser.com,Productivity,False,True,200,https://www.diabrowser.com/,0,reachable
Bauhaus Clock,https://macapp.supply/app/bauhaus-clock,https://bauhausclock.com/,https://bauhausclock.com/?ref=macapp.supply,bauhausclock.com,Utility,False,True,200,https://bauhausclock.com/,0,reachable
Superlist,https://macapp.supply/app/superlist,https://www.superlist.com/,https://www.superlist.com/?ref=macapp.supply,www.superlist.com,Productivity,False,True,200,https://www.superlist.com/,0,reachable
Droppy,https://macapp.supply/app/droppy,https://getdroppy.app/,https://getdroppy.app/?ref=macapp.supply,getdroppy.app,Productivity,False,False,200,https://getdroppy.app/,0,reachable
AutoShelf,https://macapp.supply/app/autoshelf,https://useautoshelf.com/,https://useautoshelf.com/?ref=macapp.supply,useautoshelf.com,Productivity,False,False,200,https://useautoshelf.com/,0,reachable
Sero,https://macapp.supply/app/sero,https://sero.tanayarya.com/,https://sero.tanayarya.com/?ref=macapp.supply,sero.tanayarya.com,AI,False,False,200,https://sero.tanayarya.com/,0,reachable
Noticky,https://macapp.supply/app/noticky,https://noticky.app/,https://noticky.app/?ref=macapp.supply,noticky.app,Productivity,False,False,200,https://www.noticky.app/en,2,reachable
SessionWatcher,https://macapp.supply/app/sessionwatcher,https://sessionwatcher.com/,https://sessionwatcher.com/?ref=macapp.supply,sessionwatcher.com,Utility,False,False,200,https://sessionwatcher.com/,0,reachable
Picmal,https://macapp.supply/app/picmal,https://picmal.app/,https://picmal.app/?ref=macapp.supply,picmal.app,Utility,False,False,200,https://picmal.app/,0,reachable
Creavit Studio,https://macapp.supply/app/creavit-studio,https://creavit.studio/,https://creavit.studio/?ref=macapp.supply,creavit.studio,Video,False,False,200,https://creavit.studio/,0,reachable
Grape,https://macapp.supply/app/grape,https://grape.cool/,https://grape.cool/?ref=macapp.supply,grape.cool,Productivity,False,False,200,https://grape.cool/,0,reachable
Glaze,https://macapp.supply/app/glaze,https://www.glaze.app/,https://www.glaze.app/?ref=macapp.supply,www.glaze.app,AI,False,True,200,https://www.glaze.app/,0,reachable
Klack,https://macapp.supply/app/klack,https://tryklack.com/,https://tryklack.com/?ref=macapp.supply,tryklack.com,Utility,False,False,200,https://tryklack.com/,0,reachable
